Piazza,,HP PN: 741119-001,,,,,
,,,,,,,
,,ship from Pegatron A,Arrived damaged B,usage C,Good Stock D,NG stock E,
Part No.,Description,A should = B+C+D,,C Input,D = A - B - C,E </= B + C,Remark
13P1-3SU0A01,HU PISA WEBCAM LENS,1286,0,105,"1,181",0,08/07/2014
13P1-3TB0C01,HU PIAZZA FRONT BEZEL ASM PACK,110,0,105,5,105,
13P1-3TB0411,HU PIAZZA REAR COVER ASM,94,1,46,47,47,
13P1-3SB0401,HU PISA STAND ASM,103,0,1,102,1,
1414-08SG000,WEB+MIC CBL 6P 100mm NA6,58,0,9,49,9,
1414-08VY000,BL CBL AUO 6P 50mm NA9-4,52,0,4,48,4,
1505-03XF0H2,"CHSHION-EPE BOTTOM-L, PISA",32,0,2,30,2,
1414-08SJ000,POW BT CBL 4P TO 7P 430mm NA5,52,0,2,50,2,
90C1072C0010,PS-CVB195/AUO/HTER,13,0,5,8,5,08/07/2014
1526-005G000,YELLOW TAPE V2.0,13,0,0,13,0,Roll
13P1-3SB0L01,HU PISA WEBCAM BKT ASM PACKING,5,0,1,4,1,
13P1-3SU1L01,HU PISA WEBCAM TAPE,1005,0,0,"1,005",0,
1414-08SA000,CON CBL 9P TO 9P 380mm NA2-2,55,0,1,54,1,
1415-037A000,"ANTENNA R+L 380mm,360mm NA7-2",33,0,2,31,2,
1414-08SE000,HDD CBL 7PTO7P 85mm NA4,35,0,4,31,4,
1414-08SC000,ODD CBL 7PTO7P 180mm NA3,5,0,1,4,1,
131E-005V000,SCREW M3*4L K HR-ZN T15,2100,0,,"2,100",0,
131A-00DV000,SCREW M3*5L (K) W-ZN,2100,0,,"2,100",0,
131E-001M000,SCREW M3*5L B-ZN T15,100,0,,100,0,
131E-002W0H2,SCREW M3*5L (K) B-ZN #2,2100,0,28,"2,072",28,
1823-01UT0H2,LCD TFT 19.5' HD+ WLED,38,0,7,31,7,do not scrap
90M10CU20010,COTTON/B/HTER,48,0,46,2,46,01/07/2014
1321-0031000,1156BACKPLATE_ROSETTA_DETROIT,200,0,43,157,43,
1510-07RE0H2,TS LABEL FOR JAN/MARSHA,500,0,,500,0,
1510-0JXQ0H2,"LABEL-CHASSIS,SUPPORT L6/L9",300,0,,300,0,
1510-10WJ0H2,LABEL CT L6 NISENE,300,0,,300,0,
1302-01H10H2,SCREW M2*3L BLUE_W_ZN M5,2000,0,,"2,000",0,
131A-00MB000,SCREW M2.5*4L (K) B-ZN T15,2100,0,,"2,100",0,
131A-016G000,SCREW M3*5L+6.4 K B-ZN T15,2000,0,,"2,000",0,
131E-001K000,SCREW M3*5L B-ZN T15,2100,0,,"2,100",0,
131E-0061000,SCREW M3*7L K Y-ZN T15,2000,0,1,"1,999",1,
13P1-2GN2B01,HU NS ODD BKT,400,0,4,396,4,
13P1-3SB0G01,HU PISA HDD CAGE ASM,40,0,2,38,2,
13P1-3SN0E01,HU PISA POWER BTN BKT,200,0,,200,0,
13P1-3TB0A01,HU PIAZZA MB SHIELD ASM,18,0,1,17,1,
1414-08QQ000,HDD CBL 7PTO7P 85mm NA4,50,0,2,48,2,
1414-08QS000,ODD CBL 7PTO7P 180mm NA3,50,0,,50,0,
1422-01TM000,LVDS CBL 30P 140mm NA1,100,0,10,90,10,
131B-01CE000,SCREW M3*6L F B-ZN #2 NY,2000,0,,"2,000",0,
1323-00JN000,45W CPU BLOWER PIAZZA,54,0,5,49,5,
04A4-01HX0H2,PISA/PIAZZA SPK 2W KIT,10,0,,10,0,
1502-02SK0H2,ACC BOX PISA,30,0,,30,0,
1505-03XE0H2,"CUSHION-EPE TOP, PISA",30,0,5,25,5,
1505-03XG0H2,"CHSHION-EPE BOTTOM-R, PISA",30,0,,30,0,
1505-03Y70H2,EPE PIAZZA L6,30,0,,30,0,
0423-005K0H2,CMOS CAMERA 1280*720 W/MIC,100,0,4,96,4,
13P1-3TB0801,HU PIAZZA VESA BKT ASM PACK,40,0,21,19,21,25/06/2014
90C107300010,COTTON_PB/B/HTER,10,0,0,10,0,25/06/2014
13P1-3TB0901,HU PIAZZA BASE PAN ASM PACK,10,0,1,9,1,25/06/2014
1320-00EQ000,45W CPU MODULE AURAS PIAZZA,10,,4,6,4,08/07/2014
